context_id,question_id,context,question,answer
C005,C005_Q5,"Stacks follow a last-in, first-out access pattern. Graphs consist of vertices and edges representing relationships. Hash tables map keys to values using a hash function. Linked lists consist of nodes that hold data and links to the next node. Trees are hierarchical structures with nodes connected by edges. Data structures organize and store data in a computer for efficient access and modification. Queues use a first-in, first-out ordering for processing elements. Binary search trees allow quick lookup, insertion, and deletion. Balanced trees maintain height constraints for efficient operations. Arrays store elements in contiguous memory locations.",How does a stack differ from a queue?,"A stack uses last-in, first-out ordering, while a queue uses first-in, first-out ordering."
C006,C006_Q1,"Stacks follow a last-in, first-out access pattern. Hash tables map keys to values using a hash function. Data structures organize and store data in a computer for efficient access and modification. Arrays store elements in contiguous memory locations. Balanced trees maintain height constraints for efficient operations. Queues use a first-in, first-out ordering for processing elements. Graphs consist of vertices and edges representing relationships. Linked lists consist of nodes that hold data and links to the next node. Binary search trees allow quick lookup, insertion, and deletion.",Describe the structure of a graph.,A graph is a data structure with vertices connected by edges to represent relationships or networks.
C006,C006_Q2,"Stacks follow a last-in, first-out access pattern. Hash tables map keys to values using a hash function. Data structures organize and store data in a computer for efficient access and modification. Arrays store elements in contiguous memory locations. Balanced trees maintain height constraints for efficient operations. Queues use a first-in, first-out ordering for processing elements. Graphs consist of vertices and edges representing relationships. Linked lists consist of nodes that hold data and links to the next node. Binary search trees allow quick lookup, insertion, and deletion.",What is a linked list?,"A linked list is a linear data structure where each element points to the next, allowing efficient insertion and deletion."
C006,C006_Q3,"Stacks follow a last-in, first-out access pattern. Hash tables map keys to values using a hash function. Data structures organize and store data in a computer for efficient access and modification. Arrays store elements in contiguous memory locations. Balanced trees maintain height constraints for efficient operations. Queues use a first-in, first-out ordering for processing elements. Graphs consist of vertices and edges representing relationships. Linked lists consist of nodes that hold data and links to the next node. Binary search trees allow quick lookup, insertion, and deletion.",What is the purpose of a hash table?,A hash table provides fast data retrieval by mapping keys to values through a hash function.
C006,C006_Q4,"Stacks follow a last-in, first-out access pattern. Hash tables map keys to values using a hash function. Data structures organize and store data in a computer for efficient access and modification. Arrays store elements in contiguous memory locations. Balanced trees maintain height constraints for efficient operations. Queues use a first-in, first-out ordering for processing elements. Graphs consist of vertices and edges representing relationships. Linked lists consist of nodes that hold data and links to the next node. Binary search trees allow quick lookup, insertion, and deletion.",Why are balanced trees important?,Balanced trees like AVL trees maintain height constraints to ensure operations stay logarithmic in time.
C007,C007_Q1,Static typing enforces type rules at compile time. Programming languages provide syntax and semantics to write software programs. Compiled languages are translated into machine code before execution. Memory management can be manual or automatic. Object-oriented programming organizes code into classes and objects. Dynamic typing checks types at runtime. Functional programming emphasizes pure functions and immutability. High-level languages are easier for humans to read and write. Interpreted languages are executed line by line by an interpreter.,Explain static vs dynamic typing.,"Static typing enforces type rules during compilation, whereas dynamic typing checks types during execution."
C007,C007_Q2,Static typing enforces type rules at compile time. Programming languages provide syntax and semantics to write software programs. Compiled languages are translated into machine code before execution. Memory management can be manual or automatic. Object-oriented programming organizes code into classes and objects. Dynamic typing checks types at runtime. Functional programming emphasizes pure functions and immutability. High-level languages are easier for humans to read and write. Interpreted languages are executed line by line by an interpreter.,What is the difference between compiled and interpreted languages?,"Compiled languages like C translate source code into machine code before execution, while interpreted languages like Python run code line by line."
C007,C007_Q3,Static typing enforces type rules at compile time. Programming languages provide syntax and semantics to write software programs. Compiled languages are translated into machine code before execution. Memory management can be manual or automatic. Object-oriented programming organizes code into classes and objects. Dynamic typing checks types at runtime. Functional programming emphasizes pure functions and immutability. High-level languages are easier for humans to read and write. Interpreted languages are executed line by line by an interpreter.,Why is memory management important?,Memory management ensures efficient allocation and deallocation of memory to prevent leaks and errors.
C008,C008_Q1,The kernel is the core component responsible for resource management and process scheduling. It provides a user interface for interaction between users and the computer. Multitasking enables multiple processes to run seemingly simultaneously. An operating system is system software that manages computer hardware and software resources. File systems organize and store data on storage devices. Concurrency is handled through process synchronization mechanisms like semaphores. Virtual memory uses disk space to simulate additional RAM. Memory management ensures that each process has sufficient memory space.,What role do device drivers play?,Device drivers are specialized programs that enable communication between the operating system and hardware peripherals.
C008,C008_Q2,The kernel is the core component responsible for resource management and process scheduling. It provides a user interface for interaction between users and the computer. Multitasking enables multiple processes to run seemingly simultaneously. An operating system is system software that manages computer hardware and software resources. File systems organize and store data on storage devices. Concurrency is handled through process synchronization mechanisms like semaphores. Virtual memory uses disk space to simulate additional RAM. Memory management ensures that each process has sufficient memory space.,What is the main function of an operating system?,"The operating system manages both hardware and software resources, providing essential services like memory management and process scheduling."
C008,C008_Q3,The kernel is the core component responsible for resource management and process scheduling. It provides a user interface for interaction between users and the computer. Multitasking enables multiple processes to run seemingly simultaneously. An operating system is system software that manages computer hardware and software resources. File systems organize and store data on storage devices. Concurrency is handled through process synchronization mechanisms like semaphores. Virtual memory uses disk space to simulate additional RAM. Memory management ensures that each process has sufficient memory space.,Why is memory management important?,Memory management is critical to ensure that each process receives enough memory to execute correctly and efficiently.
C008,C008_Q4,The kernel is the core component responsible for resource management and process scheduling. It provides a user interface for interaction between users and the computer. Multitasking enables multiple processes to run seemingly simultaneously. An operating system is system software that manages computer hardware and software resources. File systems organize and store data on storage devices. Concurrency is handled through process synchronization mechanisms like semaphores. Virtual memory uses disk space to simulate additional RAM. Memory management ensures that each process has sufficient memory space.,What component of the OS manages process scheduling?,"The kernel is the core component that handles process scheduling, resource allocation, and system calls."
C008,C008_Q5,The kernel is the core component responsible for resource management and process scheduling. It provides a user interface for interaction between users and the computer. Multitasking enables multiple processes to run seemingly simultaneously. An operating system is system software that manages computer hardware and software resources. File systems organize and store data on storage devices. Concurrency is handled through process synchronization mechanisms like semaphores. Virtual memory uses disk space to simulate additional RAM. Memory management ensures that each process has sufficient memory space.,How does virtual memory work?,"Virtual memory works by using disk space to simulate additional RAM, allowing the system to run larger applications."
C009,C009_Q1,Unsupervised learning finds hidden patterns in unlabeled data. Artificial Intelligence involves creating systems that can perform tasks requiring human intelligence. Supervised learning relies on labeled datasets. Natural language processing enables machines to understand human language. Machine learning is a subset of AI that uses algorithms to learn from data. Reinforcement learning uses rewards to train agents. Deep learning uses neural networks with multiple layers for feature extraction. AI ethics addresses the moral implications of AI systems. Computer vision allows systems to interpret visual information.,What is machine learning?,Machine learning is a subset of AI that develops algorithms enabling computers to learn and make predictions from data.
C009,C009_Q2,Unsupervised learning finds hidden patterns in unlabeled data. Artificial Intelligence involves creating systems that can perform tasks requiring human intelligence. Supervised learning relies on labeled datasets. Natural language processing enables machines to understand human language. Machine learning is a subset of AI that uses algorithms to learn from data. Reinforcement learning uses rewards to train agents. Deep learning uses neural networks with multiple layers for feature extraction. AI ethics addresses the moral implications of AI systems. Computer vision allows systems to interpret visual information.,Explain reinforcement learning.,Reinforcement learning trains agents through a system of rewards and penalties to achieve a goal.
C009,C009_Q3,Unsupervised learning finds hidden patterns in unlabeled data. Artificial Intelligence involves creating systems that can perform tasks requiring human intelligence. Supervised learning relies on labeled datasets. Natural language processing enables machines to understand human language. Machine learning is a subset of AI that uses algorithms to learn from data. Reinforcement learning uses rewards to train agents. Deep learning uses neural networks with multiple layers for feature extraction. AI ethics addresses the moral implications of AI systems. Computer vision allows systems to interpret visual information.,Why is AI ethics important?,"AI ethics is important to ensure fairness, accountability, and transparency in AI systems."
C009,C009_Q4,Unsupervised learning finds hidden patterns in unlabeled data. Artificial Intelligence involves creating systems that can perform tasks requiring human intelligence. Supervised learning relies on labeled datasets. Natural language processing enables machines to understand human language. Machine learning is a subset of AI that uses algorithms to learn from data. Reinforcement learning uses rewards to train agents. Deep learning uses neural networks with multiple layers for feature extraction. AI ethics addresses the moral implications of AI systems. Computer vision allows systems to interpret visual information.,How does deep learning differ from traditional ML?,Deep learning differs by using multi-layer neural networks to automatically extract higher-level features.
C009,C009_Q5,Unsupervised learning finds hidden patterns in unlabeled data. Artificial Intelligence involves creating systems that can perform tasks requiring human intelligence. Supervised learning relies on labeled datasets. Natural language processing enables machines to understand human language. Machine learning is a subset of AI that uses algorithms to learn from data. Reinforcement learning uses rewards to train agents. Deep learning uses neural networks with multiple layers for feature extraction. AI ethics addresses the moral implications of AI systems. Computer vision allows systems to interpret visual information.,What is supervised learning?,Supervised learning involves training a model on labeled datasets containing input-output pairs.
C010,C010_Q1,The OSI model divides network functions into seven layers. IP addresses uniquely identify devices on a network. HTTP is the protocol used for web communication. Routers direct data packets between networks. TCP/IP is the foundational protocol suite of the internet. Firewalls control incoming and outgoing network traffic. Switches connect devices within the same network. Computer networking connects multiple devices to share resources and information. DNS resolves human-readable domain names to IP addresses.,What is DNS?,DNS resolves human-readable domain names into numeric IP addresses for routing.
C010,C010_Q2,The OSI model divides network functions into seven layers. IP addresses uniquely identify devices on a network. HTTP is the protocol used for web communication. Routers direct data packets between networks. TCP/IP is the foundational protocol suite of the internet. Firewalls control incoming and outgoing network traffic. Switches connect devices within the same network. Computer networking connects multiple devices to share resources and information. DNS resolves human-readable domain names to IP addresses.,What is the OSI model?,The OSI model is a conceptual framework dividing network communication into seven functional layers.
C010,C010_Q3,The OSI model divides network functions into seven layers. IP addresses uniquely identify devices on a network. HTTP is the protocol used for web communication. Routers direct data packets between networks. TCP/IP is the foundational protocol suite of the internet. Firewalls control incoming and outgoing network traffic. Switches connect devices within the same network. Computer networking connects multiple devices to share resources and information. DNS resolves human-readable domain names to IP addresses.,How does a router differ from a switch?,"Routers direct data between different networks, while switches connect multiple devices within the same network."
C010,C010_Q4,The OSI model divides network functions into seven layers. IP addresses uniquely identify devices on a network. HTTP is the protocol used for web communication. Routers direct data packets between networks. TCP/IP is the foundational protocol suite of the internet. Firewalls control incoming and outgoing network traffic. Switches connect devices within the same network. Computer networking connects multiple devices to share resources and information. DNS resolves human-readable domain names to IP addresses.,How do firewalls enhance network security?,Firewalls enhance security by filtering network traffic based on predefined rules.
C010,C010_Q5,The OSI model divides network functions into seven layers. IP addresses uniquely identify devices on a network. HTTP is the protocol used for web communication. Routers direct data packets between networks. TCP/IP is the foundational protocol suite of the internet. Firewalls control incoming and outgoing network traffic. Switches connect devices within the same network. Computer networking connects multiple devices to share resources and information. DNS resolves human-readable domain names to IP addresses.,What is the purpose of TCP/IP?,TCP/IP is the foundational protocol suite that enables data exchange across the internet.
C011,C011_Q1,Routers direct data packets between networks. HTTP is the protocol used for web communication. TCP/IP is the foundational protocol suite of the internet. IP addresses uniquely identify devices on a network. The OSI model divides network functions into seven layers. Firewalls control incoming and outgoing network traffic. Switches connect devices within the same network. DNS resolves human-readable domain names to IP addresses.,What is DNS?,DNS resolves human-readable domain names into numeric IP addresses for routing.
C011,C011_Q2,Routers direct data packets between networks. HTTP is the protocol used for web communication. TCP/IP is the foundational protocol suite of the internet. IP addresses uniquely identify devices on a network. The OSI model divides network functions into seven layers. Firewalls control incoming and outgoing network traffic. Switches connect devices within the same network. DNS resolves human-readable domain names to IP addresses.,What is the purpose of TCP/IP?,TCP/IP is the foundational protocol suite that enables data exchange across the internet.
C011,C011_Q3,Routers direct data packets between networks. HTTP is the protocol used for web communication. TCP/IP is the foundational protocol suite of the internet. IP addresses uniquely identify devices on a network. The OSI model divides network functions into seven layers. Firewalls control incoming and outgoing network traffic. Switches connect devices within the same network. DNS resolves human-readable domain names to IP addresses.,How do firewalls enhance network security?,Firewalls enhance security by filtering network traffic based on predefined rules.
C012,C012_Q1,Routers direct data packets between networks. DNS resolves human-readable domain names to IP addresses. Firewalls control incoming and outgoing network traffic. Switches connect devices within the same network. TCP/IP is the foundational protocol suite of the internet. Computer networking connects multiple devices to share resources and information. The OSI model divides network functions into seven layers. HTTP is the protocol used for web communication.,How does a router differ from a switch?,"Routers direct data between different networks, while switches connect multiple devices within the same network."
C012,C012_Q2,Routers direct data packets between networks. DNS resolves human-readable domain names to IP addresses. Firewalls control incoming and outgoing network traffic. Switches connect devices within the same network. TCP/IP is the foundational protocol suite of the internet. Computer networking connects multiple devices to share resources and information. The OSI model divides network functions into seven layers. HTTP is the protocol used for web communication.,How do firewalls enhance network security?,Firewalls enhance security by filtering network traffic based on predefined rules.
C012,C012_Q3,Routers direct data packets between networks. DNS resolves human-readable domain names to IP addresses. Firewalls control incoming and outgoing network traffic. Switches connect devices within the same network. TCP/IP is the foundational protocol suite of the internet. Computer networking connects multiple devices to share resources and information. The OSI model divides network functions into seven layers. HTTP is the protocol used for web communication.,What is the purpose of TCP/IP?,TCP/IP is the foundational protocol suite that enables data exchange across the internet.
C012,C012_Q4,Routers direct data packets between networks. DNS resolves human-readable domain names to IP addresses. Firewalls control incoming and outgoing network traffic. Switches connect devices within the same network. TCP/IP is the foundational protocol suite of the internet. Computer networking connects multiple devices to share resources and information. The OSI model divides network functions into seven layers. HTTP is the protocol used for web communication.,What is the OSI model?,The OSI model is a conceptual framework dividing network communication into seven functional layers.
C012,C012_Q5,Routers direct data packets between networks. DNS resolves human-readable domain names to IP addresses. Firewalls control incoming and outgoing network traffic. Switches connect devices within the same network. TCP/IP is the foundational protocol suite of the internet. Computer networking connects multiple devices to share resources and information. The OSI model divides network functions into seven layers. HTTP is the protocol used for web communication.,What is DNS?,DNS resolves human-readable domain names into numeric IP addresses for routing.
C013,C013_Q1,"Linked lists consist of nodes that hold data and links to the next node. Queues use a first-in, first-out ordering for processing elements. Trees are hierarchical structures with nodes connected by edges. Balanced trees maintain height constraints for efficient operations. Hash tables map keys to values using a hash function. Data structures organize and store data in a computer for efficient access and modification. Stacks follow a last-in, first-out access pattern. Graphs consist of vertices and edges representing relationships.",Why are balanced trees important?,Balanced trees like AVL trees maintain height constraints to ensure operations stay logarithmic in time.
C013,C013_Q2,"Linked lists consist of nodes that hold data and links to the next node. Queues use a first-in, first-out ordering for processing elements. Trees are hierarchical structures with nodes connected by edges. Balanced trees maintain height constraints for efficient operations. Hash tables map keys to values using a hash function. Data structures organize and store data in a computer for efficient access and modification. Stacks follow a last-in, first-out access pattern. Graphs consist of vertices and edges representing relationships.",What is the purpose of a hash table?,A hash table provides fast data retrieval by mapping keys to values through a hash function.
C013,C013_Q3,"Linked lists consist of nodes that hold data and links to the next node. Queues use a first-in, first-out ordering for processing elements. Trees are hierarchical structures with nodes connected by edges. Balanced trees maintain height constraints for efficient operations. Hash tables map keys to values using a hash function. Data structures organize and store data in a computer for efficient access and modification. Stacks follow a last-in, first-out access pattern. Graphs consist of vertices and edges representing relationships.",What is a linked list?,"A linked list is a linear data structure where each element points to the next, allowing efficient insertion and deletion."
C013,C013_Q4,"Linked lists consist of nodes that hold data and links to the next node. Queues use a first-in, first-out ordering for processing elements. Trees are hierarchical structures with nodes connected by edges. Balanced trees maintain height constraints for efficient operations. Hash tables map keys to values using a hash function. Data structures organize and store data in a computer for efficient access and modification. Stacks follow a last-in, first-out access pattern. Graphs consist of vertices and edges representing relationships.",How does a stack differ from a queue?,"A stack uses last-in, first-out ordering, while a queue uses first-in, first-out ordering."
C013,C013_Q5,"Linked lists consist of nodes that hold data and links to the next node. Queues use a first-in, first-out ordering for processing elements. Trees are hierarchical structures with nodes connected by edges. Balanced trees maintain height constraints for efficient operations. Hash tables map keys to values using a hash function. Data structures organize and store data in a computer for efficient access and modification. Stacks follow a last-in, first-out access pattern. Graphs consist of vertices and edges representing relationships.",Describe the structure of a graph.,A graph is a data structure with vertices connected by edges to represent relationships or networks.
C014,C014_Q1,The kernel is the core component responsible for resource management and process scheduling. Device drivers facilitate communication between the OS and hardware peripherals. Virtual memory uses disk space to simulate additional RAM. An operating system is system software that manages computer hardware and software resources. Multitasking enables multiple processes to run seemingly simultaneously. Concurrency is handled through process synchronization mechanisms like semaphores. System calls allow user applications to request services from the OS. It provides a user interface for interaction between users and the computer. Memory management ensures that each process has sufficient memory space.,What is the main function of an operating system?,"The operating system manages both hardware and software resources, providing essential services like memory management and process scheduling."
C014,C014_Q2,The kernel is the core component responsible for resource management and process scheduling. Device drivers facilitate communication between the OS and hardware peripherals. Virtual memory uses disk space to simulate additional RAM. An operating system is system software that manages computer hardware and software resources. Multitasking enables multiple processes to run seemingly simultaneously. Concurrency is handled through process synchronization mechanisms like semaphores. System calls allow user applications to request services from the OS. It provides a user interface for interaction between users and the computer. Memory management ensures that each process has sufficient memory space.,What role do device drivers play?,Device drivers are specialized programs that enable communication between the operating system and hardware peripherals.
C014,C014_Q3,The kernel is the core component responsible for resource management and process scheduling. Device drivers facilitate communication between the OS and hardware peripherals. Virtual memory uses disk space to simulate additional RAM. An operating system is system software that manages computer hardware and software resources. Multitasking enables multiple processes to run seemingly simultaneously. Concurrency is handled through process synchronization mechanisms like semaphores. System calls allow user applications to request services from the OS. It provides a user interface for interaction between users and the computer. Memory management ensures that each process has sufficient memory space.,What component of the OS manages process scheduling?,"The kernel is the core component that handles process scheduling, resource allocation, and system calls."
C014,C014_Q4,The kernel is the core component responsible for resource management and process scheduling. Device drivers facilitate communication between the OS and hardware peripherals. Virtual memory uses disk space to simulate additional RAM. An operating system is system software that manages computer hardware and software resources. Multitasking enables multiple processes to run seemingly simultaneously. Concurrency is handled through process synchronization mechanisms like semaphores. System calls allow user applications to request services from the OS. It provides a user interface for interaction between users and the computer. Memory management ensures that each process has sufficient memory space.,Why is memory management important?,Memory management is critical to ensure that each process receives enough memory to execute correctly and efficiently.
C015,C015_Q1,"Graphs consist of vertices and edges representing relationships. Stacks follow a last-in, first-out access pattern. Hash tables map keys to values using a hash function. Queues use a first-in, first-out ordering for processing elements. Binary search trees allow quick lookup, insertion, and deletion. Arrays store elements in contiguous memory locations. Data structures organize and store data in a computer for efficient access and modification. Balanced trees maintain height constraints for efficient operations. Trees are hierarchical structures with nodes connected by edges.",What is the purpose of a hash table?,A hash table provides fast data retrieval by mapping keys to values through a hash function.
C015,C015_Q2,"Graphs consist of vertices and edges representing relationships. Stacks follow a last-in, first-out access pattern. Hash tables map keys to values using a hash function. Queues use a first-in, first-out ordering for processing elements. Binary search trees allow quick lookup, insertion, and deletion. Arrays store elements in contiguous memory locations. Data structures organize and store data in a computer for efficient access and modification. Balanced trees maintain height constraints for efficient operations. Trees are hierarchical structures with nodes connected by edges.",Why are balanced trees important?,Balanced trees like AVL trees maintain height constraints to ensure operations stay logarithmic in time.
C015,C015_Q3,"Graphs consist of vertices and edges representing relationships. Stacks follow a last-in, first-out access pattern. Hash tables map keys to values using a hash function. Queues use a first-in, first-out ordering for processing elements. Binary search trees allow quick lookup, insertion, and deletion. Arrays store elements in contiguous memory locations. Data structures organize and store data in a computer for efficient access and modification. Balanced trees maintain height constraints for efficient operations. Trees are hierarchical structures with nodes connected by edges.",What is a linked list?,"A linked list is a linear data structure where each element points to the next, allowing efficient insertion and deletion."
C015,C015_Q4,"Graphs consist of vertices and edges representing relationships. Stacks follow a last-in, first-out access pattern. Hash tables map keys to values using a hash function. Queues use a first-in, first-out ordering for processing elements. Binary search trees allow quick lookup, insertion, and deletion. Arrays store elements in contiguous memory locations. Data structures organize and store data in a computer for efficient access and modification. Balanced trees maintain height constraints for efficient operations. Trees are hierarchical structures with nodes connected by edges.",How does a stack differ from a queue?,"A stack uses last-in, first-out ordering, while a queue uses first-in, first-out ordering."
